row,accuracy,auc
0,0.8384615384615385,0.9178181818181819
1,0.8615384615384616,0.9333333333333333
2,0.8461538461538461,0.9212121212121213
3,0.823076923076923,0.912969696969697
4,0.823076923076923,0.92
5,0.8153846153846154,0.9027878787878788
6,0.8461538461538461,0.9355151515151515
7,0.8384615384615385,0.9110303030303031
8,0.7769230769230769,0.9037575757575758
9,0.8384615384615385,0.9001212121212121
10,0.823076923076923,0.9144242424242425
11,0.8153846153846154,0.904969696969697
12,0.8153846153846154,0.8947878787878788
13,0.8538461538461538,0.9258181818181819
14,0.7846153846153846,0.8831515151515151
