docid	date	gender	diff	author	title
10829	1946	nan	-0.0839507763107	Taine, John,	The time stream
10834	1946	m	-0.136267855652	Wellman, Manly Wade,	The solar invasion
10337	1930	m	-0.0779435578304	Kline, Otis Adelbert,	The prince of peril
10808	1946	m	-0.0640552712493	Cummings, Ray,	The shadow girl
20233	1956	m	-0.449405055576	Heinlein, Robert A.	Double star
20673	1966	m	-0.18465070461	Asimov, Isaac,	Fantastic voyage
10090	1931	m	-0.0860370519017	Cummings, Ray,	Brigands of the moon
10083	1930	m	-0.0605643697287	Burroughs, Edgar Rice,	Tarzan at the earth's cor
10874	1947	nan	-0.165026294245	Taine, John,	The forbidden garden
20819	1969	m	0.156911433501	Davidson, Avram,	The phoenix and the mirro
10181	1946	f	0.0552450287024	Rand, Ayn,	Anthem
20712	1966	m	-0.233180944516	Schmitz, James H.	The witches of Karres
20505	1962	f	-0.00176227668938	L'Engle, Madeleine,	A wrinkle in time
20485	1962	m	0.0623290478461	Clifton, Mark,	When they come from space
20821	1969	m	-0.399723388046	Dick, Philip K,	Galactic pot-healer
20293	1957	f	-0.399281477558	Moore, C. L.	Doomsday morning
20505	1962	f	-0.362932826068	L'Engle, Madeleine,	A wrinkle in time
20683	1966	m	-0.471136915602	Delany, Samuel R,	Babel-17
20002	1951	m	-0.0708433903099	Asimov, Isaac,	Foundation
20041	1951	m	0.00991448380707	Wylie, Philip,	The disappearance
11778	1945	m	-0.0639910628256	Lewis, C. S.	That hideous strength
11013	1950	m	-0.263483713278	Van Vogt, A. E. 1912-2000	The house that stood stil
20026	1951	m	-0.284690140938	Merwin, Sam,	The house of many worlds
20694	1966	m	-0.10364560325	Herbert, Frank,	The eyes of Heisenberg
21035	1972	m	-0.119606682676	Levin, Ira,	The Stepford wives
20106	1953	m	-0.540133519661	Lowndes, Robert W,	Mystery of the third mine
20270	1957	m	0.0747388340843	Dick, Philip K,	Eye in the sky
20133	1954	m	-0.465461449414	Del Rey, Lester,	Step to the stars
20374	1959	m	-0.291600982936	Heinlein, Robert A.	Starship troopers
20021	1951	m	0.0845454846631	MacDonald, John D.	Wine of the dreamers
21304	1976	f	-0.246498050472	Butler, Octavia E,	Patternmaster
20026	1951	m	0.109756733125	Merwin, Sam,	The house of many worlds
10336	1930	m	-0.0684230708252	Kline, Otis Adelbert,	Maza of the moon
11584	1938	m	0.040317583257	Priestley, J. B.	The doomsday men
20222	1956	m	-0.118795544823	Del Rey, Lester,	Mission to the moon
20684	1966	m	-0.288926744121	Dick, Philip K,	Now wait for last year
11711	1942	m	0.00262594198344	Stapledon, Olaf,	Darkness and the light
20496	1962	m	-0.438800399245	Garrett, Randall,	Unwise child
20065	1952	m	0.02388758358	Jones, Raymond F.	Son of the stars
20041	1951	m	0.0800962839428	Wylie, Philip,	The disappearance
20819	1969	m	0.235032860237	Davidson, Avram,	The phoenix and the mirro
11004	1950	m	-0.126520022482	Phillips, Rog,	Worlds within
20044	1952	m	-0.0664822271187	Asimov, Isaac,	Foundation and empire
11900	1949	m	-0.0373733388317	Wright, S. Fowler,	The Amphibians
20114	1953	m	-0.297310894806	Pangborn, Edgar,	West of the sun
20152	1954	m	0.435995000909	Matheson, Richard,	I am legend
20563	1963	m	-0.0975011869608	Vonnegut, Kurt,	Cat's Cradle
20821	1969	m	0.0543538005174	Dick, Philip K,	Galactic pot-healer
20683	1966	m	-0.0421199436731	Delany, Samuel R,	Babel-17
10645	1941	m	-0.0428472798159	Merritt, Abraham,	The metal monster
10970	1950	m	-0.351699284425	Asimov, Isaac,	I: robot
10968	1949	m	-0.142180208786	Zagat, Arthur Leo,	Seven out of time
20572	1964	m	0.00874335589887	Burroughs, William S.	Nova Express
20573	1964	m	-0.0270125736297	Clement, Hal,	Close to critical
20089	1953	m	-0.339560580598	Brown, Fredric,	The lights in the sky are
20496	1962	m	-0.137907342943	Garrett, Randall,	Unwise child
10917	1948	m	-0.0749314951816	Smith, E. E.	Skylark three
11043	1932	m	-0.190605587833	Huxley, Aldous,	Brave new world
21351	1976	m	0.0678855172162	Niven, Larry,	A world out of time
21355	1976	f	-0.1280362677	Piercy, Marge,	Woman on the edge of time
11591	1938	m	-0.0751677676038	Wright, S. Fowler,	The adventure of Wyndham 
20079	1952	m	-0.33437222354	Vonnegut, Kurt,	Player piano
20079	1952	m	-0.0208149552284	Vonnegut, Kurt,	Player piano
23487	1957	m	-0.24920508533	Hoyle, Fred,	The black cloud
20083	1953	m	0.0108452246143	Asimov, Isaac,	Second foundation
20152	1954	m	0.0320102934504	Matheson, Richard,	I am legend
11385	1932	m	-0.0624665616384	Stapledon, Olaf,	Last men in London
Derleth1948	1948	m	-0.470520115968	Derleth, August,	Two stories by Derleth
10736	1944	m	-0.0703397104708	Burroughs, Edgar Rice,	Land of terror
20088	1953	m	-0.0710691948202	Bradbury, Ray,	Fahrenheit 451
20089	1953	m	-0.641539764395	Brown, Fredric,	The lights in the sky are
20684	1966	m	-0.0421540642608	Dick, Philip K,	Now wait for last year
20233	1956	m	-0.379289278034	Heinlein, Robert A.	Double star
10832	1946	nan	-0.0756613349724	Van Vogt, A. E. 1912-  (A	Slan
20866	1970	m	0.0102097967111	Anderson, Poul,	Tau zero
20374	1959	m	-0.712808114849	Heinlein, Robert A.	Starship troopers
10355	1931	m	-0.123523597864	Leinster, Murray,	Murder madness
20673	1966	m	-0.00254302514099	Asimov, Isaac,	Fantastic voyage
11096	1949	m	-0.0977242502719	Orwell, George,	Nineteen eighty-four
20106	1953	m	-0.211198535943	Lowndes, Robert W,	Mystery of the third mine
20222	1956	m	-0.353694399282	Del Rey, Lester,	Mission to the moon
20723	1966	m	-0.125337095378	Zelazny, Roger,	This immortal
20655	1965	m	-0.123968026063	Raphael, Rick,	Code three
20114	1953	m	0.201571391221	Pangborn, Edgar,	West of the sun
21187	1974	f	-0.485791619431	Le Guin, Ursula K.	The Dispossessed
20573	1964	m	-0.23063930949	Clement, Hal,	Close to critical
20293	1957	f	-0.203418319758	Moore, C. L.	Doomsday morning
11927	1950	m	-0.338585188457	Stapledon, Olaf,	A man divided
21147	1973	m	0.335214061264	Vonnegut, Kurt,	Breakfast of Champions
20370	1959	m	0.0215315888825	Gantz, Kenneth Franklin,	Not in solitude
20088	1953	m	-0.43995395598	Bradbury, Ray,	Fahrenheit 451
10827	1946	m	-0.45962418389	Sherman, Harold M.	The green man
10853	1947	m	-0.494873102522	Heinlein, Robert A.	Rocket ship Galileo
20133	1954	m	-0.0445801558256	Del Rey, Lester,	Step to the stars
10476	1935	m	0.115189411471	Lewis, Sinclair,	It can't happen here
20139	1954	m	-0.451181969274	Heinlein, Robert A.	The star beast
10362	1931	m	-0.0402826514561	Smith, Thorne,	The night life of the god
23507	1962	m	-0.0206825100796	Huxley, Aldous,	Island
20655	1965	m	0.0725284911554	Raphael, Rick,	Code three
10542	1938	m	0.451088022728	Burroughs, Edgar Rice,	The lad and the lion
20480	1962	m	0.590945193974	Bradbury, Ray,	Something wicked this way
20044	1952	m	-0.238894478504	Asimov, Isaac,	Foundation and empire
20919	1970	m	0.0875997003631	Silverberg, Robert,	Downward to the earth
10526	1937	m	-0.0779896591006	Pseudoman, Akkad,	Zero to eighty
10357	1931	m	-0.155830103548	Merritt, Abraham,	The face in the abyss
20480	1962	m	-0.0701774200703	Bradbury, Ray,	Something wicked this way
20563	1963	m	0.0384785262875	Vonnegut, Kurt,	Cat's Cradle
20370	1959	m	-0.371771647372	Gantz, Kenneth Franklin,	Not in solitude
11305	1930	m	-0.0606987560819	Stapledon, Olaf,	Last and first men
20450	1961	m	-0.0736466184465	Galouye, Daniel F,	Dark universe
23487	1957	m	-0.0205689883294	Hoyle, Fred,	The black cloud
11552	1937	m	-0.198896514708	Wells, H. G.	Star-begotten
20427	1960	m	-0.0491527631081	Sheckley, Robert,	Store of infinity
20083	1953	m	-0.243060222958	Asimov, Isaac,	Second foundation
10096	1931	m	-0.189219777587	Merritt, Abraham,	Face in the abyss
10923	1948	m	-0.336830846926	Williamson, Jack,	Darker than you think
20002	1951	m	-0.257473669592	Asimov, Isaac,	Foundation
20065	1952	m	-0.461641963741	Jones, Raymond F.	Son of the stars
20898	1970	f	0.215599135847	Kurtz, Katherine,	Deryni rising
20270	1957	m	-0.360019886148	Dick, Philip K,	Eye in the sky
20572	1964	m	-0.206400614297	Burroughs, William S.	Nova Express
23507	1962	m	0.21525510158	Huxley, Aldous,	Island
10361	1931	m	-0.339680646211	Schuyler, George S.	Black no more
20694	1966	m	0.0474379877989	Herbert, Frank,	The eyes of Heisenberg
10970	1950	m	-0.0422319492486	Asimov, Isaac,	I: robot
20956	1971	m	-0.00674930283649	Geissler, Ludwig A,	Looking beyond
20139	1954	m	-0.368967976901	Heinlein, Robert A.	The star beast
20961	1971	m	0.0554933810623	Hjortsberg, William,	Gray matters
20450	1961	m	0.055372349002	Galouye, Daniel F,	Dark universe
11927	1950	m	0.172435991474	Stapledon, Olaf,	A man divided
20485	1962	m	-0.168349947428	Clifton, Mark,	When they come from space
21286	1975	m	-0.0531510738628	Silverberg, Robert,	The stochastic man
20712	1966	m	0.0322513205646	Schmitz, James H.	The witches of Karres
21116	1973	m	-0.157002457533	Malzberg, Barry N,	Herovit's world
20427	1960	m	-0.332650459113	Sheckley, Robert,	Store of infinity
20723	1966	m	0.0288730856348	Zelazny, Roger,	This immortal
11013	1950	m	0.0628614762273	Van Vogt, A. E. 1912-2000	The house that stood stil
20021	1951	m	-0.221486235199	MacDonald, John D.	Wine of the dreamers
11004	1950	m	0.115029958769	Phillips, Rog,	Worlds within
10679	1942	m	-0.151855597257	Merritt, Abraham,	Burn: witch: burn!
